text_short,label
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
"Super dat je me hebt geholpen, ik owe you one!",informeel
"Yo, ben je vanavond online om te gamen?",informeel
Zoals besproken in ons eerdere overleg stuur ik u de conceptversie van het rapport.,formeel
"Hoi, heb je zin om morgen wat te gaan drinken na werk?",informeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
"Met vriendelijke groet, en alvast dank voor uw medewerking.",formeel
"Ik was vergeten te zeggen dat ik volgende week vrij ben, dus we kunnen iets plannen.",informeel
"Met vriendelijke groet, en alvast dank voor uw medewerking.",formeel
"Bedankt voor je hulp gisteren, echt top!",informeel
Zal ik straks wat snacks meenemen?,informeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
"Hey, wat een leuke meeting was dat! Zullen we snel weer afspreken?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
"Geachte heer Jansen, hierbij wil ik u informeren over de geplande vergadering van volgende week.",formeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
"Ik was vergeten te zeggen dat ik volgende week vrij ben, dus we kunnen iets plannen.",informeel
"Thanks voor de tip, dat ga ik zeker proberen.",informeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
"Super dat je me hebt geholpen, ik owe you one!",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
Zoals besproken in ons eerdere overleg stuur ik u de conceptversie van het rapport.,formeel
"Yo, ben je vanavond online om te gamen?",informeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
"Yo, ben je vanavond online om te gamen?",informeel
"Bedankt voor je hulp gisteren, echt top!",informeel
"Thanks voor de tip, dat ga ik zeker proberen.",informeel
"Yo, ben je vanavond online om te gamen?",informeel
"Ik was vergeten te zeggen dat ik volgende week vrij ben, dus we kunnen iets plannen.",informeel
Zal ik straks wat snacks meenemen?,informeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
"Hoi, heb je zin om morgen wat te gaan drinken na werk?",informeel
"Hoi, heb je zin om morgen wat te gaan drinken na werk?",informeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
Wij stellen het zeer op prijs indien u tijdig uw aanwezigheid kunt bevestigen.,formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
"Ik was vergeten te zeggen dat ik volgende week vrij ben, dus we kunnen iets plannen.",informeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
"Thanks voor de tip, dat ga ik zeker proberen.",informeel
Zal ik straks wat snacks meenemen?,informeel
Wij stellen het zeer op prijs indien u tijdig uw aanwezigheid kunt bevestigen.,formeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Graag verneem ik of de door ons voorgestelde datum u schikt.,formeel
"Haha, dat was echt een grappig verhaal dat je vertelde!",informeel
"Super dat je me hebt geholpen, ik owe you one!",informeel
"Indien u nog vragen heeft, kunt u mij telefonisch bereiken tijdens kantooruren.",formeel
"Bedankt voor je hulp gisteren, echt top!",informeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
"Hoi, heb je zin om morgen wat te gaan drinken na werk?",informeel
"Yo, ben je vanavond online om te gamen?",informeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
"Hoi, heb je zin om morgen wat te gaan drinken na werk?",informeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
Wij stellen het zeer op prijs indien u tijdig uw aanwezigheid kunt bevestigen.,formeel
"Super dat je me hebt geholpen, ik owe you one!",informeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
"Geachte heer Jansen, hierbij wil ik u informeren over de geplande vergadering van volgende week.",formeel
Zal ik straks wat snacks meenemen?,informeel
"Bedankt voor je hulp gisteren, echt top!",informeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Wij stellen het zeer op prijs indien u tijdig uw aanwezigheid kunt bevestigen.,formeel
Wij stellen het zeer op prijs indien u tijdig uw aanwezigheid kunt bevestigen.,formeel
Graag verneem ik of de door ons voorgestelde datum u schikt.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
Hierbij bevestig ik de ontvangst van uw bericht van 3 mei jongstleden.,formeel
"Geachte heer Jansen, hierbij wil ik u informeren over de geplande vergadering van volgende week.",formeel
Conform afspraak ontvangt u hierbij de factuur voor de geleverde diensten.,formeel
"Thanks voor de tip, dat ga ik zeker proberen.",informeel
Wij zouden het op prijs stellen indien u uiterlijk vrijdag reageert op dit verzoek.,formeel
"Ik was vergeten te zeggen dat ik volgende week vrij ben, dus we kunnen iets plannen.",informeel
"Met vriendelijke groet, en alvast dank voor uw medewerking.",formeel
"Hey, wat een leuk weekend was dat! Zullen we snel weer afspreken?",informeel
"Bedankt voor je hulp gisteren, echt top!",informeel
"Bedankt voor je hulp gisteren, echt top!",informeel
"Ik stuur je even snel dit berichtje, vergeet je de sleutels niet mee te nemen?",informeel
Ik verzoek u vriendelijk de bijgevoegde documenten te ondertekenen en retour te zenden.,formeel
Zal ik straks wat snacks meenemen?,informeel
"Super dat je me hebt geholpen, ik owe you one!",informeel
